period_begin,state,state_code,property_type,median_sale_price,id
2020-01-01,Tennessee,TN,Townhouse,223800,47
2020-01-01,Arkansas,AR,Multi-Family (2-4 Unit),145900,5
2020-01-01,Iowa,IA,Condo/Co-op,174100,19
2020-01-01,Massachusetts,MA,Townhouse,398700,25
2020-01-01,Alabama,AL,All Residential,192400,1
2020-01-01,Indiana,IN,All Residential,160400,18
2020-01-01,Alabama,AL,Condo/Co-op,293800,1
2020-01-01,New York,NY,All Residential,410800,36
2020-01-01,Arizona,AZ,Single Family Residential,296000,4
2020-01-01,North Carolina,NC,Multi-Family (2-4 Unit),259300,37
2020-01-01,Virginia,VA,All Residential,299100,51
2020-01-01,New Mexico,NM,Townhouse,234000,35
2020-01-01,Delaware,DE,Single Family Residential,260800,10
2020-01-01,Maine,ME,Single Family Residential,220200,23
2020-01-01,Hawaii,HI,Condo/Co-op,459900,15
2020-01-01,North Carolina,NC,Single Family Residential,242900,37
2020-01-01,North Carolina,NC,Townhouse,227300,37
2020-01-01,Washington,WA,All Residential,422900,53
2020-01-01,New Mexico,NM,All Residential,254000,35
2020-01-01,Missouri,MO,Condo/Co-op,142300,29
2020-01-01,Georgia,GA,Townhouse,228600,13
2020-01-01,Vermont,VT,Townhouse,279900,50
2020-01-01,New Jersey,NJ,Townhouse,252200,34
2020-01-01,Arizona,AZ,Condo/Co-op,191000,4
2020-01-01,Nevada,NV,Townhouse,239200,32
2020-01-01,North Dakota,ND,Single Family Residential,231500,38
2020-01-01,Nevada,NV,All Residential,303200,32
2020-01-01,Ohio,OH,Single Family Residential,156000,39
2020-01-01,California,CA,Condo/Co-op,472600,6
2020-01-01,Minnesota,MN,Townhouse,223300,27
2020-01-01,Kentucky,KY,All Residential,168400,21
2020-01-01,Illinois,IL,Townhouse,201100,17
2020-01-01,Hawaii,HI,Townhouse,609800,15
2020-01-01,Columbia,DC,Townhouse,607500,11
2020-01-01,Kansas,KS,All Residential,192500,20
2020-01-01,Pennsylvania,PA,Single Family Residential,206400,42
2020-01-01,Wyoming,WY,Multi-Family (2-4 Unit),336400,56
2020-01-01,Ohio,OH,Multi-Family (2-4 Unit),101300,39
2020-01-01,Texas,TX,Multi-Family (2-4 Unit),289000,48
2020-01-01,Columbia,DC,Single Family Residential,757500,11
2020-01-01,Louisiana,LA,Multi-Family (2-4 Unit),246900,22
2020-01-01,Utah,UT,All Residential,342100,49
2020-01-01,Massachusetts,MA,Multi-Family (2-4 Unit),474500,25
2020-01-01,Minnesota,MN,Condo/Co-op,193800,27
2020-01-01,Maryland,MD,Multi-Family (2-4 Unit),219300,24
2020-01-01,Nevada,NV,Single Family Residential,321800,32
2020-01-01,Colorado,CO,Multi-Family (2-4 Unit),751400,8
2020-01-01,Connecticut,CT,Condo/Co-op,186100,9
2020-01-01,Idaho,ID,All Residential,297900,16
2020-01-01,Michigan,MI,All Residential,169100,26
2020-01-01,Vermont,VT,Single Family Residential,236900,50
2020-01-01,Illinois,IL,All Residential,200000,17
2020-01-01,Massachusetts,MA,Condo/Co-op,466200,25
2020-01-01,Tennessee,TN,All Residential,236300,47
2020-01-01,Oklahoma,OK,Townhouse,147500,40
2020-01-01,Vermont,VT,All Residential,238600,50
2020-01-01,Missouri,MO,Multi-Family (2-4 Unit),157600,29
2020-01-01,Kentucky,KY,Multi-Family (2-4 Unit),158400,21
2020-01-01,Maryland,MD,All Residential,290500,24
2020-01-01,Vermont,VT,Multi-Family (2-4 Unit),261500,50
2020-01-01,Montana,MT,Single Family Residential,301600,30
2020-01-01,West Virginia,WV,Condo/Co-op,141600,54
2020-01-01,Colorado,CO,Single Family Residential,425600,8
2020-01-01,Rhode Island,RI,All Residential,300300,44
2020-01-01,Idaho,ID,Single Family Residential,295600,16
2020-01-01,North Carolina,NC,Condo/Co-op,186300,37
2020-01-01,Florida,FL,Townhouse,230100,12
2020-01-01,Nebraska,NE,Townhouse,199800,31
2020-01-01,Illinois,IL,Multi-Family (2-4 Unit),248700,17
2020-01-01,Virginia,VA,Condo/Co-op,258500,51
2020-01-01,Iowa,IA,Single Family Residential,165200,19
2020-01-01,Mississippi,MS,Condo/Co-op,152900,28
2020-01-01,Hawaii,HI,All Residential,581000,15
2020-01-01,Delaware,DE,All Residential,227500,10
2020-01-01,Montana,MT,All Residential,297600,30
2020-01-01,Missouri,MO,Townhouse,162700,29
2020-01-01,New Hampshire,NH,All Residential,274900,33
2020-01-01,Indiana,IN,Single Family Residential,163400,18
2020-01-01,Kansas,KS,Single Family Residential,195300,20
2020-01-01,Wyoming,WY,Condo/Co-op,413400,56
2020-01-01,Washington,WA,Multi-Family (2-4 Unit),460200,53
2020-01-01,Delaware,DE,Multi-Family (2-4 Unit),97500,10
2020-01-01,Kentucky,KY,Townhouse,138800,21
2020-01-01,Pennsylvania,PA,All Residential,195100,42
2020-01-01,Illinois,IL,Single Family Residential,199600,17
2020-01-01,Illinois,IL,Condo/Co-op,202200,17
2020-01-01,Michigan,MI,Multi-Family (2-4 Unit),116000,26
2020-01-01,Nevada,NV,Multi-Family (2-4 Unit),357900,32
2020-01-01,Colorado,CO,Condo/Co-op,313700,8
2020-01-01,South Carolina,SC,Multi-Family (2-4 Unit),335700,45
2020-01-01,Oregon,OR,Condo/Co-op,268100,41
2020-01-01,Wisconsin,WI,Townhouse,208100,55
2020-01-01,Idaho,ID,Multi-Family (2-4 Unit),387300,16
2020-01-01,Tennessee,TN,Multi-Family (2-4 Unit),179100,47
2020-01-01,Alaska,AK,Multi-Family (2-4 Unit),345100,2
2020-01-01,Alabama,AL,Townhouse,148200,1
2020-01-01,Hawaii,HI,Multi-Family (2-4 Unit),221500,15
