period_begin,state,state_code,property_type,median_sale_price,median_list_price,homes_sold,new_listings,inventory,months_of_supply,off_market_in_two_weeks,parent_metro_region
2018-02-01,Delaware,DE,townhouse,170800,227800.0,147,244.0,675.0,4.6,0.1850878771,South Region
2015-08-01,Texas,TX,condo,161100,224600.0,1094,1237.0,3076.0,2.8,0.3559589749,South Region
2024-04-01,Arizona,AZ,single family,476400,474900.0,7704,9905.0,24547.0,3.2,0.3050137287,West Region
2021-06-01,Michigan,MI,single family,236400,225100.0,12851,16294.0,19018.0,1.5,0.5142981003,Midwest Region
2016-11-01,Texas,TX,all,217900,225100.0,22452,23061.0,78877.0,3.5,0.2762783692,South Region
2021-09-01,Louisiana,LA,condo,178300,304500.0,141,63.0,342.0,2.4,0.2038359788,South Region
2024-05-01,Indiana,IN,townhouse,302100,317700.0,133,188.0,315.0,2.4,0.5177881299,Midwest Region
2020-02-01,Oregon,OR,townhouse,334100,423900.0,189,298.0,466.0,2.5,0.4467666775,West Region
2018-01-01,Massachusetts,MA,all,384800,409400.0,5135,5048.0,13153.0,2.6,0.3364242591,Northeast Region
2022-06-01,Wisconsin,WI,townhouse,275500,360500.0,81,95.0,145.0,1.8,0.6356253537,Midwest Region
2024-03-01,Arizona,AZ,condo,275800,479700.0,439,691.0,1765.0,4.0,0.2732250587,West Region
2021-09-01,Pennsylvania,PA,multi family,181800,221500.0,478,554.0,1760.0,3.7,0.2895979059,Northeast Region
2020-05-01,California,CA,single family,571100,615700.0,16561,27881.0,56948.0,3.4,0.3831401184,West Region
2018-03-01,Delaware,DE,condo,149000,234500.0,40,46.0,141.0,3.5,0.2068965517,South Region
2023-03-01,Massachusetts,MA,all,563600,643800.0,4397,6722.0,7929.0,1.8,0.6264473682,Northeast Region
2017-05-01,Kansas,KS,multi family,143700,166300.0,23,28.0,53.0,2.3,0.433234127,Midwest Region
2022-08-01,Maine,ME,single family,338200,315100.0,2010,2045.0,3669.0,1.8,0.4516175285,Northeast Region
2017-08-01,Nevada,NV,all,261700,267300.0,5450,5733.0,14397.0,2.6,0.439399387,West Region
2014-11-01,New York,NY,single family,214600,218600.0,5792,5687.0,50855.0,8.8,0.01380049966,Northeast Region
2019-10-01,Wyoming,WY,all,306700,284800.0,785,597.0,2882.0,3.7,0.01067449621,West Region
2023-03-01,Wisconsin,WI,single family,290100,293700.0,3539,4643.0,8398.0,2.4,0.5631715001,Midwest Region
2014-08-01,Nevada,NV,condo,103800,213300.0,468,629.0,2620.0,5.6,0.1624104646,West Region
2023-08-01,Nebraska,NE,all,288200,279100.0,2063,2092.0,3521.0,1.7,0.4475519148,Midwest Region
2014-08-01,Arkansas,AR,single family,139500,141000.0,2368,2660.0,12475.0,5.3,0.02145488412,South Region
2015-06-01,Indiana,IN,townhouse,147400,150500.0,127,109.0,449.0,3.5,0.01412944853,Midwest Region
2016-01-01,Missouri,MO,multi family,107000,136300.0,81,128.0,350.0,4.3,0.08139443277,Midwest Region
