period_begin,state,state_code,property_type,median_sale_price
2020-01-01,Mississippi,MS,Condo/Co-op,152900
2020-01-01,Hawaii,HI,All Residential,581000
2020-01-01,Delaware,DE,All Residential,227500
2020-01-01,Montana,MT,All Residential,297600
2020-01-01,Missouri,MO,Townhouse,162700
2020-01-01,New Hampshire,NH,All Residential,274900
2020-01-01,Indiana,IN,Single Family Residential,163400
2020-01-01,Kansas,KS,Single Family Residential,195300
2020-01-01,Wyoming,WY,Condo/Co-op,413400
2020-01-01,Washington,WA,Multi-Family (2-4 Unit),460200
2020-01-01,Delaware,DE,Multi-Family (2-4 Unit),97500
2020-01-01,Kentucky,KY,Townhouse,138800
2020-01-01,Pennsylvania,PA,All Residential,195100
2020-01-01,Illinois,IL,Single Family Residential,199600
2020-01-01,Illinois,IL,Condo/Co-op,202200
2020-01-01,Michigan,MI,Multi-Family (2-4 Unit),116000
2020-01-01,Nevada,NV,Multi-Family (2-4 Unit),357900
2020-01-01,Colorado,CO,Condo/Co-op,313700
2020-01-01,South Carolina,SC,Multi-Family (2-4 Unit),335700
2020-01-01,Oregon,OR,Condo/Co-op,268100
2020-01-01,Wisconsin,WI,Townhouse,208100
2020-01-01,Idaho,ID,Multi-Family (2-4 Unit),387300
2020-01-01,Tennessee,TN,Multi-Family (2-4 Unit),179100
2020-01-01,Alaska,AK,Multi-Family (2-4 Unit),345100
2020-01-01,Alabama,AL,Townhouse,148200
2020-01-01,Hawaii,HI,Multi-Family (2-4 Unit),221500
2020-01-01,Washington,WA,Townhouse,541100
2020-01-01,Iowa,IA,Multi-Family (2-4 Unit),116800
2020-01-01,Rhode Island,RI,Multi-Family (2-4 Unit),295300
2020-01-01,Florida,FL,All Residential,249200
2020-01-01,Kentucky,KY,Condo/Co-op,148700
2020-01-01,South Dakota,SD,All Residential,205900
2020-01-01,New York,NY,Single Family Residential,334300
2020-01-01,Florida,FL,Multi-Family (2-4 Unit),289100
2020-01-01,Indiana,IN,Townhouse,170500
2020-01-01,West Virginia,WV,Townhouse,167900
2020-01-01,Texas,TX,Condo/Co-op,195800
2020-01-01,Arkansas,AR,Condo/Co-op,199300
2020-01-01,South Dakota,SD,Condo/Co-op,146200
2020-01-01,Virginia,VA,Single Family Residential,302300
2020-01-01,North Carolina,NC,All Residential,236900
2020-01-01,California,CA,Single Family Residential,549100
2020-01-01,New York,NY,Condo/Co-op,604700
2020-01-01,Alaska,AK,All Residential,270500
2020-01-01,North Dakota,ND,Condo/Co-op,124100
2020-01-01,New York,NY,Townhouse,581700
2020-01-01,Virginia,VA,Townhouse,342000
2020-01-01,Wisconsin,WI,Single Family Residential,202900
2020-01-01,Connecticut,CT,All Residential,258100
2020-01-01,Florida,FL,Condo/Co-op,192700
2020-01-01,Connecticut,CT,Multi-Family (2-4 Unit),222300
2020-01-01,Michigan,MI,Single Family Residential,171300
2020-01-01,Texas,TX,All Residential,237600
2020-01-01,Oklahoma,OK,All Residential,162400
2020-01-01,California,CA,Townhouse,580700
2020-01-01,Connecticut,CT,Single Family Residential,291500
2020-01-01,Washington,WA,Single Family Residential,422500
2020-01-01,Columbia,DC,All Residential,550000
2020-01-01,California,CA,Multi-Family (2-4 Unit),761400
2020-01-01,Wisconsin,WI,All Residential,194700
2020-01-01,California,CA,All Residential,546400
2020-01-01,Oklahoma,OK,Multi-Family (2-4 Unit),160000
2020-01-01,Montana,MT,Multi-Family (2-4 Unit),430200
2020-01-01,Nebraska,NE,Multi-Family (2-4 Unit),170300
2020-01-01,Ohio,OH,Townhouse,267800
