country,year,iso_code,population,gdp,renewables_share_energy,fossil_share_energy,coal_share_energy,gas_share_energy,oil_share_energy,nuclear_share_energy,hydro_share_energy,wind_share_energy,solar_share_energy,energy_per_capita,carbon_intensity_elec
Canada,2015,CAN,35962183.0,1568025739264.0,27.733,65.785,5.428,27.939,32.418,6.481,24.502,1.729,0.186,111824.5,184.365
Canada,2016,CAN,36353292.0,1583728033792.0,28.46,65.047,5.481,27.103,32.463,6.493,24.846,1.994,0.194,109289.602,180.678
Canada,2017,CAN,36808448.0,1631871434752.0,28.65,64.986,5.551,27.748,31.686,6.365,24.966,1.994,0.209,109394.312,172.011
Canada,2018,CAN,37294942.0,1677189185536.0,27.664,66.13,4.513,29.351,32.267,6.206,23.94,2.076,0.217,109464.961,170.791
Canada,2019,CAN,37782884.0,1708858146816.0,27.407,66.353,4.243,29.763,32.347,6.24,23.704,2.041,0.233,107455.766,169.916
Canada,2020,CAN,38171851.0,1622144450560.0,29.457,64.143,3.885,30.644,29.614,6.4,25.369,2.347,0.267,100465.242,160.499
Canada,2021,CAN,38454011.0,1703443300352.0,29.113,64.911,3.461,31.287,30.163,5.975,24.843,2.423,0.332,100431.133,163.002
Canada,2022,CAN,38821209.0,1761295597568.0,29.497,65.036,2.748,31.8,30.489,5.467,25.099,2.491,0.362,102122.555,156.795
Canada,2023,CAN,39299053.0,,27.858,66.492,2.697,32.514,31.281,5.65,23.048,2.588,0.537,98930.125,165.148
Canada,2024,CAN,39742378.0,,27.157,67.389,2.123,33.629,31.637,5.454,21.901,2.988,0.601,97784.664,174.814
China,1990,CHN,1153582668.0,3385121832960.0,4.45,95.55,77.5,1.948,16.102,0.0,4.448,0.0,0.0,6881.388,
China,1991,CHN,1170788481.0,3508947910656.0,4.168,95.832,77.369,1.877,16.586,0.0,4.165,0.0,0.0,7121.363,
China,1992,CHN,1184574195.0,3755037425664.0,4.157,95.843,76.929,1.819,17.096,0.0,4.149,0.004,0.0,7406.634,
China,1993,CHN,1197308522.0,4126169366528.0,4.483,95.47,76.035,1.792,17.643,0.047,4.473,0.006,0.0,7899.078,
China,1994,CHN,1209003049.0,4438753280000.0,4.668,94.923,76.28,1.767,16.876,0.409,4.643,0.011,0.0,8311.652,
China,1995,CHN,1220133877.0,4810000039936.0,5.239,94.415,74.988,1.733,17.695,0.346,5.131,0.017,0.0,8484.854,
China,1996,CHN,1230944759.0,5127589593088.0,4.849,94.785,74.455,1.723,18.606,0.366,4.802,0.002,0.0,8861.04,
China,1997,CHN,1241139564.0,5291339415552.0,5.057,94.577,72.471,1.809,20.297,0.366,4.974,0.005,0.0,8847.622,
China,1998,CHN,1250847078.0,5338703069184.0,5.119,94.524,71.797,1.862,20.865,0.357,5.039,0.009,0.0,8794.493,
China,1999,CHN,1260176600.0,5578502963200.0,4.893,94.742,71.359,1.909,21.474,0.366,4.811,0.012,0.0,9035.296,
China,2000,CHN,1269581120.0,5952682590208.0,5.336,94.269,69.83,2.1,22.339,0.395,5.254,0.014,0.001,9294.628,783.314
China,2001,CHN,1278725010.0,6329737412608.0,6.251,93.36,69.53,2.226,21.604,0.389,6.17,0.016,0.001,9751.951,762.735
China,2002,CHN,1286866794.0,6814493573120.0,5.922,93.569,69.989,2.174,21.406,0.509,5.832,0.017,0.001,10553.145,773.163
China,2003,CHN,1294517277.0,7248623435776.0,5.001,94.25,71.565,2.168,20.517,0.749,4.903,0.017,0.001,12219.811,790.786
China,2004,CHN,1302100264.0,7830953263104.0,5.289,93.969,71.32,2.168,20.481,0.742,5.194,0.019,0.001,14214.832,778.356
China,2005,CHN,1310027084.0,8602939555840.0,5.239,94.08,73.52,2.242,18.319,0.681,5.093,0.025,0.001,16050.938,781.931
China,2006,CHN,1318053984.0,9489543593984.0,5.267,94.095,73.656,2.516,17.923,0.638,5.073,0.043,0.001,17486.639,786.511
China,2007,CHN,1325813524.0,10358205972480.0,5.407,93.932,73.804,2.847,17.28,0.662,5.17,0.058,0.001,18893.74,785.125
China,2008,CHN,1333820960.0,10799147909120.0,6.872,92.431,72.251,3.163,17.017,0.697,6.488,0.133,0.002,19508.213,746.948
China,2009,CHN,1342522666.0,11572544012288.0,6.56,92.76,72.489,3.336,16.935,0.68,5.975,0.268,0.003,20229.75,753.029
China,2010,CHN,1351561462.0,12858808074240.0,7.195,92.132,70.336,3.765,18.031,0.673,6.406,0.445,0.006,21497.809,740.64
China,2011,CHN,1360250601.0,13691527364608.0,6.697,92.579,70.97,4.332,17.277,0.724,5.713,0.615,0.022,23037.326,752.231
China,2012,CHN,1369520822.0,14773157625856.0,8.068,91.152,69.083,4.648,17.421,0.781,6.851,0.818,0.029,23821.602,720.151
China,2013,CHN,1379007984.0,15925464006656.0,8.474,90.679,68.027,5.105,17.547,0.847,6.91,1.05,0.064,24548.492,717.389
China,2014,CHN,1387951920.0,17103948087296.0,9.69,89.328,66.074,5.458,17.797,0.982,7.812,1.178,0.173,25021.809,693.728
China,2015,CHN,1396134112.0,18301224747008.0,10.278,88.48,63.967,5.577,18.936,1.243,8.083,1.346,0.286,25166.629,667.715
China,2016,CHN,1404052581.0,19545710395392.0,11.113,87.357,61.893,5.98,19.484,1.529,8.274,1.728,0.477,25125.633,651.666
China,2017,CHN,1412354694.0,20894363680768.0,11.666,86.629,60.249,6.632,19.748,1.705,8.007,2.093,0.81,25949.135,644.167
China,2018,CHN,1419008910.0,22294286041088.0,12.224,85.85,58.647,7.45,19.754,1.925,7.825,2.388,1.155,27068.061,636.876
China,2019,CHN,1423520298.0,23631939764224.0,12.786,85.048,57.512,7.737,19.8,2.166,7.903,2.517,1.391,28231.928,619.617
China,2020,CHN,1426106040.0,24151844716544.0,13.396,84.407,56.879,8.181,19.346,2.198,7.932,2.8,1.567,29095.936,606.258
China,2021,CHN,1426437224.0,26180600201216.0,14.195,83.496,55.941,8.749,18.806,2.309,7.367,3.716,1.853,30738.947,599.005
China,2022,CHN,1425179509.0,26966017179648.0,15.218,82.455,55.309,8.561,18.585,2.327,7.23,4.248,2.38,31235.709,586.7
China,2023,CHN,1422584878.0,,15.505,82.22,54.028,8.686,19.506,2.275,6.416,4.636,3.057,33089.07,583.608
China,2024,CHN,1419321230.0,,17.472,80.259,52.807,8.961,18.491,2.268,6.814,5.016,4.221,34514.457,559.552
Colombia,1990,COL,32440020.0,253538205696.0,31.201,68.799,7.507,15.117,46.175,0.0,30.855,0.0,0.0,7783.015,
Colombia,1991,COL,33098327.0,259415670784.0,30.631,69.369,9.194,15.179,44.997,0.0,30.3,0.0,0.0,7830.271,
Colombia,1992,COL,33760526.0,270562869248.0,23.802,76.198,14.778,14.354,47.066,0.0,23.4,0.0,0.0,7953.25,
Colombia,1993,COL,34441431.0,286025318400.0,27.369,72.631,14.271,13.726,44.634,0.0,26.946,0.0,0.0,8483.571,
Colombia,1994,COL,35127363.0,300636176384.0,29.116,70.884,15.102,12.555,43.228,0.0,28.669,0.0,0.0,9006.93,
Colombia,1995,COL,35804622.0,316101722112.0,28.416,71.584,13.202,13.043,45.339,0.0,27.947,0.0,0.0,9041.425,
Colombia,1996,COL,36462687.0,322403827712.0,30.151,69.849,9.854,13.658,46.338,0.0,29.682,0.0,0.0,9231.324,
Colombia,1997,COL,37121106.0,333997146112.0,26.432,73.568,11.453,16.862,45.253,0.0,25.983,0.0,0.0,9217.662,
Colombia,1998,COL,37792117.0,335365603328.0,25.565,74.435,10.75,19.323,44.363,0.0,25.077,0.0,0.0,9169.139,
Colombia,1999,COL,38454817.0,321583120384.0,30.0,70.0,9.24,17.963,42.797,0.0,29.549,0.0,0.0,8396.205,
Colombia,2000,COL,39089879.0,330615619584.0,28.239,71.761,10.186,18.585,42.99,0.0,27.735,0.0,0.002,8037.486,189.208
Colombia,2001,COL,39709209.0,336096690176.0,28.572,71.428,9.945,19.079,42.403,0.0,28.072,0.0,0.002,7979.627,197.728
Colombia,2002,COL,40324632.0,344517672960.0,30.439,69.561,8.192,19.3,42.07,0.0,29.941,0.0,0.004,7859.615,183.404
Colombia,2003,COL,40937378.0,357889179648.0,31.64,68.36,8.918,18.168,41.273,0.0,31.146,0.0,0.006,7886.763,172.078
Colombia,2004,COL,41543134.0,376728256512.0,31.689,68.311,7.419,18.428,42.464,0.0,31.202,0.042,0.006,8172.966,148.388
Colombia,2005,COL,42128928.0,394076061696.0,32.783,67.217,4.754,19.69,42.773,0.0,32.205,0.041,0.008,7935.201,159.992
Colombia,2006,COL,42691022.0,420283842560.0,30.936,69.064,11.708,17.866,39.49,0.0,30.053,0.044,0.0,9041.402,158.98
Colombia,2007,COL,43235327.0,448731316224.0,31.46,68.54,10.144,18.612,39.785,0.0,30.579,0.034,0.0,9072.933,155.138
Colombia,2008,COL,43758748.0,464038723584.0,31.267,68.733,12.894,18.164,37.675,0.0,30.41,0.036,0.0,9334.818,137.527
Colombia,2009,COL,44271496.0,471326588928.0,28.771,71.229,11.97,21.115,38.144,0.0,27.009,0.038,0.0,9120.592,211.63
Colombia,2010,COL,44777278.0,489870196736.0,27.404,72.596,13.389,20.943,38.264,0.0,25.294,0.024,0.0,9482.512,229.454
Colombia,2011,COL,45259560.0,521323249664.0,31.371,68.629,10.393,19.549,38.687,0.0,28.804,0.025,0.0,9805.588,151.378
Colombia,2012,COL,45715766.0,541722640384.0,29.023,70.977,11.759,20.401,38.817,0.0,26.43,0.03,0.0,10323.202,179.036
Colombia,2013,COL,46151536.0,569534644224.0,26.267,73.733,12.291,21.942,39.5,0.0,23.762,0.031,0.0,10509.718,236.022
Colombia,2014,COL,46565374.0,595158040576.0,25.308,74.692,12.357,22.628,39.707,0.0,22.629,0.036,0.0,10964.926,236.73
Colombia,2015,COL,46969894.0,612750917632.0,25.545,74.455,11.624,22.556,40.275,0.0,22.758,0.035,0.0,10738.832,275.362
Colombia,2016,COL,47437468.0,625545117696.0,24.363,75.637,11.746,22.308,41.583,0.0,21.73,0.024,0.0,11569.522,259.551
Colombia,2017,COL,48131023.0,634046316544.0,28.787,71.213,8.872,21.674,40.667,0.0,26.256,0.001,0.002,11535.705,166.178
Colombia,2018,COL,49024413.0,650303242240.0,27.908,72.092,8.087,22.644,41.36,0.0,25.068,0.019,0.005,11652.979,187.444
Colombia,2019,COL,49907932.0,671028412416.0,26.754,73.246,9.497,22.787,40.962,0.0,23.856,0.028,0.058,11495.889,240.924
Colombia,2020,COL,50629945.0,622365376512.0,27.111,72.889,9.313,25.74,37.836,0.0,24.137,0.005,0.092,10227.399,271.254
Colombia,2021,COL,51188120.0,690925207552.0,29.666,70.334,6.777,22.696,40.862,0.0,26.783,0.027,0.143,11053.641,195.827
Colombia,2022,COL,51737891.0,742716997632.0,28.384,71.616,8.005,20.386,43.225,0.0,25.606,0.03,0.2,12123.163,202.148
Colombia,2023,COL,52321104.0,,27.398,72.602,8.967,21.561,42.075,0.0,24.103,0.082,0.483,11760.22,268.967
Colombia,2024,COL,52886314.0,,26.093,73.907,10.145,22.154,41.608,0.0,21.893,0.06,1.327,11645.505,285.796
Egypt,1990,EGY,58396583.0,227979902976.0,7.097,92.903,2.266,19.94,70.696,0.0,7.097,0.0,0.0,6701.136,
Egypt,1991,EGY,60028948.0,241323327488.0,6.979,93.021,2.302,22.145,68.574,0.0,6.979,0.0,0.0,6604.025,
Egypt,1992,EGY,61480607.0,254191042560.0,6.965,93.035,2.381,24.181,66.473,0.0,6.965,0.0,0.0,6386.177,
Egypt,1993,EGY,62915626.0,269984907264.0,7.168,92.832,2.867,27.784,62.181,0.0,7.168,0.0,0.0,6245.075,
Egypt,1994,EGY,64285546.0,286215798784.0,7.245,92.755,2.934,28.081,61.74,0.0,7.245,0.0,0.0,6428.0,
Egypt,1995,EGY,65652570.0,305979228160.0,7.134,92.866,1.853,27.827,63.187,0.0,7.134,0.0,0.0,6668.75,
Egypt,1996,EGY,67027996.0,328668872704.0,6.947,93.053,2.417,27.247,63.389,0.0,6.947,0.0,0.0,6881.853,
Egypt,1997,EGY,68431693.0,354503262208.0,6.835,93.165,1.963,26.96,64.242,0.0,6.835,0.0,0.0,7021.606,
Egypt,1998,EGY,69943248.0,380551430144.0,6.75,93.25,1.855,26.471,64.924,0.0,6.75,0.0,0.0,7153.046,
Egypt,1999,EGY,71520901.0,409935675392.0,6.992,93.008,1.571,29.533,61.904,0.0,6.985,0.006,0.0,7506.74,
Egypt,2000,EGY,73083242.0,444250292224.0,6.998,93.002,1.787,34.012,57.204,0.0,6.958,0.04,0.0,7779.259,525.641
Egypt,2001,EGY,74651984.0,475678998528.0,6.824,93.176,1.506,39.917,51.753,0.0,6.74,0.084,0.0,7947.73,533.763
Egypt,2002,EGY,76239093.0,501912305664.0,6.405,93.595,1.57,41.972,50.052,0.0,6.309,0.096,0.0,8004.343,542.966
Egypt,2003,EGY,77853500.0,528750444544.0,5.599,94.401,1.537,44.411,48.453,0.0,5.477,0.121,0.0,8297.528,556.026
Egypt,2004,EGY,79477386.0,561597906944.0,5.317,94.683,1.488,44.885,48.31,0.0,5.116,0.201,0.0,8581.734,559.898
Egypt,2005,EGY,81100965.0,600297439232.0,5.073,94.927,1.419,43.63,49.878,0.0,4.876,0.197,0.0,8624.023,566.991
Egypt,2006,EGY,82700350.0,650403840000.0,4.876,95.124,1.348,47.84,45.936,0.0,4.655,0.22,0.0,8907.391,570.213
Egypt,2007,EGY,84276171.0,713462317056.0,5.061,94.939,1.151,47.209,46.579,0.0,4.835,0.225,0.0,9309.623,567.579
Egypt,2008,EGY,85864736.0,775303659520.0,5.101,94.899,0.977,47.412,46.511,0.0,4.804,0.296,0.0,9687.774,567.391
Egypt,2009,EGY,87501586.0,831414992896.0,4.525,95.475,0.838,47.655,46.982,0.0,4.207,0.317,0.001,9847.494,576.45
Egypt,2010,EGY,89196017.0,898751397888.0,4.198,95.802,0.605,48.64,46.558,0.0,3.779,0.411,0.007,10035.333,582.704
Egypt,2011,EGY,91093017.0,923052867584.0,4.063,95.937,0.546,50.856,44.534,0.0,3.584,0.412,0.067,10336.398,583.177
Egypt,2012,EGY,93160949.0,950287269888.0,3.92,96.08,0.465,51.805,43.81,0.0,3.435,0.352,0.133,10518.406,587.878
Egypt,2013,EGY,95333501.0,984556568576.0,3.909,96.091,0.462,50.991,44.637,0.0,3.487,0.415,0.007,10209.095,589.169
Egypt,2014,EGY,97528601.0,1035721834496.0,3.913,96.087,0.471,48.167,47.448,0.0,3.603,0.273,0.037,9863.481,591.859
Egypt,2015,EGY,99597285.0,1079611555840.0,4.062,95.938,0.957,47.267,47.714,0.0,3.558,0.493,0.011,9800.549,592.257
Egypt,2016,EGY,101644536.0,1121578516480.0,3.87,96.13,1.379,48.026,46.725,0.0,3.227,0.586,0.057,10135.919,592.965
Egypt,2017,EGY,103696006.0,1158060441600.0,3.627,96.373,1.306,52.359,42.707,0.0,2.993,0.494,0.141,10325.811,594.69
Egypt,2018,EGY,105682048.0,1220661739520.0,3.832,96.168,2.376,55.762,38.03,0.0,3.008,0.695,0.129,10137.441,592.407
Egypt,2019,EGY,107553107.0,1289253421056.0,4.638,95.362,2.194,56.473,36.694,0.0,3.107,1.179,0.353,9749.411,579.449
Egypt,2020,EGY,109315075.0,1307778088960.0,5.968,94.032,0.888,59.306,33.837,0.0,3.536,1.314,1.118,9028.076,566.336
Egypt,2021,EGY,110956950.0,1400985616384.0,5.908,94.092,1.335,58.753,34.005,0.0,3.472,1.278,1.158,9564.889,571.306
Egypt,2022,EGY,112618191.0,1460427423744.0,5.687,94.313,1.107,54.769,38.437,0.0,3.266,1.31,1.111,9857.584,574.731
Egypt,2023,EGY,114535724.0,,5.804,94.196,1.248,55.004,37.944,0.0,3.363,1.338,1.103,9566.158,574.044
Egypt,2024,EGY,116538208.0,,5.778,94.222,1.704,53.287,39.23,0.0,3.125,1.334,1.319,9660.868,571.938
Ethiopia,1990,ETH,47609716.0,45030920192.0,,,,,,,,,,278.254,
Ethiopia,1991,ETH,49717150.0,41447817216.0,,,,,,,,,,224.466,
Ethiopia,1992,ETH,51853704.0,37455351808.0,,,,,,,,,,303.966,
Ethiopia,1993,ETH,53708848.0,37874282496.0,,,,,,,,,,274.483,
Ethiopia,1994,ETH,55611462.0,40711847936.0,,,,,,,,,,183.879,
Ethiopia,1995,ETH,57537286.0,42631098368.0,,,,,,,,,,191.528,
Ethiopia,1996,ETH,59467593.0,46130266112.0,,,,,,,,,,144.92,
Ethiopia,1997,ETH,61404491.0,49275076608.0,,,,,,,,,,140.928,
Ethiopia,1998,ETH,63363475.0,48734081024.0,,,,,,,,,,191.173,
Ethiopia,1999,ETH,65374500.0,48438288384.0,,,,,,,,,,227.92,
Ethiopia,2000,ETH,67411450.0,50326966272.0,,,,,,,,,,237.98,35.503
Ethiopia,2001,ETH,69487716.0,52434128896.0,,,,,,,,,,244.971,34.314
Ethiopia,2002,ETH,71635475.0,54501781504.0,,,,,,,,,,246.018,33.981
Ethiopia,2003,ETH,73832609.0,53892038656.0,,,,,,,,,,256.372,30.043
Ethiopia,2004,ETH,76077161.0,55845384192.0,,,,,,,,,,264.853,31.128
Ethiopia,2005,ETH,78367414.0,61634777088.0,,,,,,,,,,297.265,31.25
Ethiopia,2006,ETH,80703444.0,67217117184.0,,,,,,,,,,313.911,30.211
Ethiopia,2007,ETH,83103168.0,73421783040.0,,,,,,,,,,342.712,34.985
Ethiopia,2008,ETH,85543618.0,79756500992.0,,,,,,,,,,353.999,30.03
Ethiopia,2009,ETH,88007584.0,86391029760.0,,,,,,,,,,354.188,35.912
Ethiopia,2010,ETH,90538466.0,94148624384.0,,,,,,,,,,360.906,31.936
Ethiopia,2011,ETH,93149926.0,104948629504.0,,,,,,,,,,383.195,29.968
Ethiopia,2012,ETH,95798722.0,116345225216.0,,,,,,,,,,408.92,25.099
Ethiopia,2013,ETH,98438710.0,128310304768.0,,,,,,,,,,466.468,25.375
Ethiopia,2014,ETH,101115562.0,141950550016.0,,,,,,,,,,521.378,23.231
Ethiopia,2015,ETH,103867085.0,157107159040.0,,,,,,,,,,533.245,24.062
